Albania	56,4	3,1	79,7	24,2	95,8	18,6	3,7	11,8
Azerbaijan	91,4	11	53,3	29,5	84,7	35,2	9,6	30
Argentina	58,1	28,8	70,3	34,9	86,6	48,6	10,1	26,4
Australia	68,9	42,8	50,8	23,1	90,2	62,6	15	44,4
Bangladesh	78,8	18	83,1	82,2	94,2	16,1	13,4	11,1
Armenia	68,8	6	66,8	25	86	44,5	14,1	23,1
Brazil	69,6	22	84	64,5	92,6	57,7	21,8	54,2
Bulgaria	55	9	52	14,8	87,9	40,8	6,9	20,9
Belarus	73,9	4,2	46,7	20	83,8	31,3	9,8	28,7
Chile	69,3	27	64,3	41,8	88,8	27,6	6,9	42
China	89,3	22,7	63,9	3,9	76,5	29,3	23,7	10,7
Taiwan	73,1	29,7	44,4	12,6	77,7	29	10,9	25,8
Colombia	66,6	47,1	71,8	49	86	33,5	9,4	39,7
Croatia	43,9	8,4	54,3	25,7	85,2	48,3	5,9	33
Czech Rep.	70,3	8,9	48,9	9	90,8	38,4	3,2	26,2
Dominican Rep.	61,8	31,9	63,1	49,6	85,1	34,3	15,6	29,7
El Salvador	61,3	55,6	94,8	86,5	96,6	64,5	17	61,8
Estonia	78	4,6	59,7	7,9	77,7	26,8	4,6	21,3
Finland	65,1	23,7	48,5	13,3	80,4	56	3,1	34,7
Georgia	42,9	11,6	57,8	49,3	94,6	73,6	13,2	36,2
Germany	61,8	17,9	50,3	10,8	78,4	43,4	10,9	31,8
Hungary	81,5	13,5	50,5	21,5	89,4	38,2	6,6	33,5
India	17,2	29,9	82,4	48,2	90,8	37,5	10,9	11,1
Japan	81,6	32,5	53,5	6,4	89,8	48,1	18,3	39,8
South Korea	54,5	11,9	57,5	19,8	90,1	45,2	19,2	22,7
Latvia	51	4,4	56,1	12,2	67,8	24,2	5,1	19,7
Lithuania	58,9	4,1	45,6	13,1	73,2	21,6	3,9	18,4
Mexico	72	31,5	63,4	45,4	74,3	28,9	17,2	35,5
Moldova	47,1	3,6	52	30,5	79	21,2	6,6	22,3
New Zealand	55,2	32,8	45	19	92,6	55,4	7	45
Nigeria	86,6	46,2	86,9	91,5	97,5	53	21,4	50,4
Norway	85,1	29,9	58,8	12,1	87,8	59	6	39
Pakistan	84,2	27,9	67,7	80,5	80,8	25,1	7,7	12,5
Peru	72,2	28,2	72,8	53,3	87,4	21,9	13,1	28,5
Philippines	65	40,2	83	78,3	95,8	39	14,6	14,2
Poland	70,5	18,3	63,3	46,4	89,7	26	6,9	23
Puerto Rico	68,9	42,9	74,3	71,2	92,6	28,8	12,9	47,1
Romania	52,4	5,1	58,8	37,5	88,6	20,7	6,9	27
Russia	81,9	6,1	48,6	14	83,7	29,2	8,1	25,8
Slovakia	59,5	6,6	47,1	23,7	90,9	32	3,7	25,6
Slovenia	50,3	13,4	54,9	16,3	82	41	2,9	33,3
South Africa	85,4	35,3	79,5	67,8	93,1	27	18,7	31,5
Spain	57	18,7	59,1	25,2	81,8	40,7	7,8	30,2
Sweden	94,8	39,2	64,6	9,5	90,2	69,9	11	51,4
Switzerland	59,4	39,8	46,5	14,3	80,9	58,2	6,4	45,2
Turkey	69,2	51	76	83,3	96,6	71,2	24,2	40,1
Ukraine	68,1	4,9	47,2	19,1	85,7	34,1	6,4	24,8
Macedonia	48,1	13,4	82	33,8	97,5	47,8	9,8	45,5
United Kingdom	78,1	32,4	55,2	55,9	95,2	69,4	17,8	42,3
United States	70,8	46,3	70,3	22,8	91,3	57,6	13,8	46,4
Uruguay	76,7	20,6	94,2	61,1	97,9	42,2	12,7	60,4
Venezuela	73,9	54,4	62,9	25,3	88,6	48,3	7,3	25,9
