Albania	54,6	9,7	81,5	27,5	95,9	32	8,1	13,7
Argentina	55,1	16,1	92,4	90,6	94,4	35,6	15	23,8
Bangladesh	85,5	33	73,4	46,3	90,2	49,7	8,9	35,1
Bosnia Herzegovina	61,1	14,8	91,3	87,5	96,7	31,9	19,7	23
Canada	60,1	21,7	74,6	34	98,7	70,6	10,9	43,3
Chile	54,4	44	52,1	30,1	93,9	60,2	9	38
China	89,9	36	74,8	46,3	96,4	29,1	9,1	53,3
India	73,7	11,5	49	2,5	60,2	19,9	15,1	7,1
Iraq	35,2	25,3	76,5	55,8	91,9	39,2	17,9	27,7
Israel	75,1	20,5	88,8	98,1	99	56	9,5	17,2
Japan	15,6	23	77,3	78,9	94,1	29	16,7	28,5
South Korea	74,4	13,2	85,2	93,5	97,3	59,6	25,4	30,5
Kyrgyzstan	85,2	27,2	46,6	6,4	91,3	46,6	20,3	42,3
Mexico	67,4	27,8	64,7	95,9	96,6	47,4	15,9	17,2
Moldova	67,4	12,8	62,3	23,2	89,6	44,8	15	23,8
Morocco	88	9,6	54,8	31,6	87,2	47,5	15,2	24,8
Peru	76,5	19,8	86,1	67,7	96,6	37,8	17,9	49,7
Philippines	83,5	56,5	40,1	33,9	85	34,9	8,1	24,2
Puerto Rico	66,7	6	89	95,6	93,4	37,2	10,9	38,6
Singapore	77,5	22,3	88,2	92,8	98,9	63,6	27,7	51,7
Vietnam	94	66,8	60,3	81,8	92,5	19,4	5,2	4,9
South Africa	58,3	19,6	68,2	52,5	82,4	24,6	20,6	22,8
Zimbabwe	46,7	30,8	93,4	86,8	98,6	36,8	21,9	15,3
Spain	37,3	38,4	73,9	75,4	95,7	32,2	15,1	52,5
Uganda	52,4	53,3	61,5	88,7	94,7	53,1	25,6	30,4
Macedonia	71,8	44,3	52,3	35,9	91,8	39,5	10	26,3
Tanzania	86,9	28,7	56,5	9,7	82,2	21,6	37,5	7,2
United States	64,8	48,6	79,3	69,7	95,2	34,3	20,4	35,4
Venezuela	76,3	38,5	90	77,6	97,3	34,9	14,1	27,5
Serbia	55	19,9	55,5	21,9	85,4	46,9	7,3	38,2
Montenegro	47,6	20,1	54,1	10,6	89,4	70,7	11,4	53,9
